methyl,region,cell,TF,size,yes,pwm,value,auc
array,body,GM12878,GABPA,621.0,15.5,0.744653772102275,0.9199087202862495,0.9199087202862495
array,body,GM12878,IRF4,304.0,6.0,0.4099552572706935,0.8316554809843402,0.8316554809843402
array,body,GM12878,JUNB,770.0,15.0,0.6005739514348787,0.8898013245033113,0.8898013245033113
array,body,GM12878,MAX,610.0,6.0,0.6107891832229579,0.8890728476821192,0.8890728476821192
array,body,GM12878,MAZ,6830.0,25.5,0.5812508126994074,0.8467121366788347,0.8467121366788347
array,body,GM12878,MXI1,1836.0,17.0,0.4886330563011351,0.9042136920738608,0.9042136920738608
array,body,GM12878,MYC,1704.0,8.0,0.4700029481132076,0.8618808962264151,0.8618808962264151
array,body,GM12878,NRF1,1683.5,45.5,0.7359583569750529,0.8253436118658215,0.8253436118658215
array,body,GM12878,PAX5,790.0,41.5,0.6790699574623145,0.7064992150564412,0.7064992150564412
array,body,GM12878,PBX3,390.0,10.0,0.7536842105263158,0.8710526315789473,0.8710526315789473
array,body,GM12878,RELA,387.0,14.0,0.5305438529299119,0.8364611260053618,0.8364611260053618
array,body,GM12878,REST,687.0,16.0,0.8999627421758569,0.6529433681073026,0.6529433681073026
array,body,GM12878,RUNX3,395.0,19.0,0.6622977654681304,0.8344797073842398,0.8344797073842398
array,body,GM12878,SP1,2846.0,33.0,0.6506425793663617,0.6868920272759591,0.6868920272759591
array,body,GM12878,SPI1,344.5,30.5,0.6255140949585394,0.7813264924376035,0.7813264924376035
array,body,GM12878,SRF,248.0,19.0,0.7530452769478281,0.8653183176281315,0.8653183176281315
array,body,GM12878,TCF12,407.5,13.0,0.39338480479158,0.8579869264172802,0.8579869264172802
array,body,GM12878,USF1,691.0,44.0,0.6315180171530979,0.8239927355350742,0.8239927355350742
array,body,GM12878,USF2,1366.5,233.5,0.6913415107781237,0.8235512054034821,0.8235512054034821
array,body,GM12878,YY1,269.0,17.5,0.694349629187299,0.8764179062935682,0.8764179062935682
array,body,GM12878,ZBTB33,546.5,19.5,0.7291875777039698,0.8053136751922692,0.8053136751922692
array,body,HeLa,BRCA1,493.0,23.0,0.8114708603145236,0.9354301572617948,0.9354301572617948
array,body,HeLa,CEBPB,59.0,24.5,0.5219169985067198,0.5059295669487307,0.5059295669487307
array,body,HeLa,CTCF,3296.6666666666665,1734.3333333333333,0.8282951131794741,0.8030605671822255,0.8030605671822255
array,body,HeLa,E2F1,5293.0,162.0,0.57829486888942,0.9069955505619064,0.9069955505619064
array,body,HeLa,E2F4,1773.0,8.0,0.7714943342776204,0.8987252124645893,0.8987252124645893
array,body,HeLa,ELK1,553.0,6.0,0.6687995124923827,0.9366240097501524,0.9366240097501524
array,body,HeLa,ELK4,845.0,9.0,0.7424906964380649,0.9549441786283892,0.9549441786283892
array,body,HeLa,FOS,99.0,6.0,0.4525089605734767,0.8279569892473119,0.8279569892473119
array,body,HeLa,GABPA,668.5,14.0,0.8331932262303015,0.932008678914884,0.932008678914884
array,body,HeLa,JUND,116.0,7.0,0.5596330275229358,0.6631716906946264,0.6631716906946264
array,body,HeLa,MAFF,272.5,14.5,0.6050438110026619,0.7744914134131914,0.7744914134131914
array,body,HeLa,MAFK,135.0,6.0,0.4341085271317829,0.7713178294573644,0.7713178294573644
array,body,HeLa,MAX,543.5,22.0,0.4577057120688366,0.8230400610414685,0.8230400610414685
array,body,HeLa,MAZ,7040.0,68.0,0.529315810359005,0.8864632519636731,0.8864632519636731
array,body,HeLa,MXI1,1977.0,30.0,0.6172744393083376,0.9309193631227528,0.9309193631227528
array,body,HeLa,MYC,1535.0,20.5,0.4883945506172197,0.9167215589386604,0.9167215589386604
array,body,HeLa,NFE2L2,391.0,9.0,0.7641070389761488,0.6791739383362422,0.6791739383362422
array,body,HeLa,NFYA,393.0,12.0,0.6519028871391076,0.9516622922134732,0.9516622922134732
array,body,HeLa,NR3C1,195.0,9.0,0.569295101553166,0.6660692951015531,0.6660692951015531
array,body,HeLa,NRF1,1723.5,119.5,0.7917031157295605,0.908075155988743,0.908075155988743
array,body,HeLa,RELA,418.0,13.0,0.5528964862298196,0.5998100664767331,0.5998100664767331
array,body,HeLa,REST,585.5,7.0,0.9690076593610124,0.6158858105674745,0.6158858105674745
array,body,HeLa,RFX5,507.0,6.0,0.5455755156353959,0.8143712574850299,0.8143712574850299
array,body,HeLa,SMARCC1,420.0,9.0,0.5827250608272506,0.9343065693430656,0.9343065693430656
array,body,HeLa,STAT3,621.0,7.0,0.6204048394602141,0.8755234993020009,0.8755234993020009
array,body,HeLa,USF2,1342.5,71.0,0.6729796132125221,0.8607776407364336,0.8607776407364336
